Role,Message,Images/ Voice Messages/ etc,Channel,Event Marker,Date of message,Notes
Lead,Loved “Also you’ll be getting a $200 cash rebate or free …”,,,,,
Agent,"Hey Kimberly…Do you go by Kim or Kimberly? This is great info. A few things…
 
 We can get into a nice apartment but floor to ceiling windows within $1300 isn’t feasible (contrary to what instagram can lead to believe). Everything else is a go. Just keep in mind that you’ll have fees on top of base rent (Ex. Valet trash, pest control, sometimes an amenity fee) amounting to $35-75 or so. Plus you’ll be paying your water, electricity, renters insurance, and internet. 
 
 Azure - the only 1 bed I see in range is essential housing meaning it’s income restricted. For that unit you’ll need to make 3x the rent but make under $60,600 per year
 Azurehoustonapts.com/essential-housing/
 
 MAA Valleywood - I wouldn’t send you there. I really want to save you the headache of a drive to and from The Woodlands especially in traffic which could easily double your commute time. Plus these specifically were built in 1984. We can get way newer for the price, no need to see them (in my opinion)
 
 Birchway Perry Rd - 👍🏼 worth a tour as long as you’re okay with the commute
 
 No need to cancel tours, just let me know what day and time they’re scheduled and which of the 3 you’d still like to see based on the above info so I can communicate with the office and know for when we coordinate the others. 
 
 Also, let me know if you can be approved for essential housing which requires you make 3x rent but generally under about $60k per year. If so I’ll look for other options like them. Hope this helps!",,,,,
Agent,Oh and the locations you put they’re all somewhat the same location. I’ll try to get you as central and close to Downtown as I can,,,,,
Lead,Loved “Oh and the locations you put they’re all somewhat …”,,,,,
Lead,"Hi Ashanti. Thanks for asking . Kimberly is fine , although I don’t have a problem with you calling me Kim 😊. 
 
 I knew the Wall to ceiling windows would definitely make you laugh reading that knowing the budget 😂 however the windows isn’t a big deal . 
 
 I did notice Azure was an income restriction property. I do meet the requirements for those properties . At this current moment I’m at 60k. 
 Thank you for that information. 
 
 I’m aware of the additional fees. 
 
 I’m not really too big to be like directly in the downtown area for example I live south Atlanta It typically takes me about 15 minutes to get to Work with no traffic. Let’s say about 20 to 30 with traffic . 
 
 I don’t mind commuting. I just don’t want be too far out .Houston traffic is almost 3 times worse than Atlanta traffic. 
 
 I really appreciate all of your efforts 🙏🏾🙏🏾🙏🏾🙏🏾🙏🏾🙏🏾🙏🏾",,,,,
Lead,"If I may, how far Birchwood is from the downtown area ?",,,,,
Agent,"Gotcha! Lol floor to ceiling is going to have to wait. 
 
 Perfect, good to know for budget. I’ll check for some other similar properties to add to the list in the next couple days. 
 
 I’ll check for areas keeping in mind distance to Downtown. You’ll definitely want to rule out The Woodlands if you want to be a reasonable commute to Downtown. 
 
 Birchway Perry Road is about 30 mins from downtown with no traffic",,,,,
Lead,"Good morning , Ashanti . I wanted to follow up with you to see if you updated the list . If so I’ll go back and check them out . Thank you . 🙏🏾",,,,,
Agent,"Hey Kimberly! Sorry I didn’t get back sooner. I just went in and updated the list to add options closer to central Houston. Prices will be higher in these areas but you can still pay under your price range when specials are included. 
 
 For example, rent at Alta Sunset Heights (Brand new building) is $1495 + 2 months free = $1265/month. This is how you’ll be closer to the city and still get the price you want. 
 
 For the record, with your income you can be approved for $1665 (just good info to know). 
 
 Let me know if you have any questions and if all is the same and you’ll be in town December 3rd let me know all of which apts you’ll want to see and I’ll have them scheduled! 😌",,,,,
Lead,"Good afternoon, Ashanti . 
 Thank you so much for this information. 
 
 I have placed a star ⭐️ on the properties I would love to view. 
 
 FYI, as mentioned before I do have three tours already set up and the times and dates are listed below:
 
 
 MAA Valleywood: Wednesday,December 4th at 10am
 
 AZURE:Wednesday ,December 4 at 12 PM 
 
 Bitchwood Perry Wood :
 Thursday, December 5 at 12 noon 
 
 Depending on how traffic is I may have to reschedule the MAA valley wood. 
  
 
 Please let me know your thoughts.",,,,,
Agent,"Loved “Good afternoon, Ashanti . 
 Thank you so much for t…”",,,,,
Agent,"Good afternoon Kimberly, absolutely!
 
 Sounds perfect, I’ll have the ⭐️’d apts all scheduled 
 
 My thoughts about MAA Valley wood is you’d be wasting your time. They’re so far from the city and really old apartments. If you want to check out an apartment at a similar price point I’d suggest Royal Spring with 1 beds at $975. Just my thoughts but obviously I encourage you to do what you feel is best. 
 
 With Azure, Birchway Perry Rd, and the others I’ll schedule, I think we have an amazing lineup to choose from. 
 
 I’ll get those scheduled this weekend. Are the 4th and 5th going to be your only touring days or will you have any time on the 3rd or 6th?",,,,,
Lead,"Loved “Good afternoon Kimberly, absolutely!
 
 Sounds perfe…”",,,,,
Lead,"Hi Ashanti ,thank you for the update on the property. I trust your judgement so I’ll cancel the appointment. 🙏🏾
 
 I pick up my car at the airport at 10am Tuesday (12-3) morning so I’ll have availability anytime after that. 
 
 Friday I fly out early morning.",,,,,
Agent,"My pleasure. That sounds good
 
 Okay perfect, I’ll follow up with your full schedule this weekend",,,,,
Agent,"Hey Kimberly, here’s your full touring schedule for your upcoming visit! It’s in your email also. I’ll be meeting you on Wednesday at our first at 10am. Let me know if you have any questions!
 
 Wednesday, Dec 4
 10 AM - Alta Sunset Heights 
 11 AM - Prose Hardy Yards
 12 PM - Azure Houston 
 1:30 PM - Alta Grandway 
 
 Thursday, Dec 5
 10 AM - Fidelis Westlake
 12 PM - Birchway Perry Road 
 1 PM - Evolve Champions",,,,,
Lead,"Hey Ashanti , you’re heaven sent ! Thank you so much . I received this information in my email as well. I look forward to meeting you thank you so much again for everything.",,,,,
Agent,"The pleasure is mine! I’m looking forward to meeting you too, I’ll be here if you need!",,,,,
Lead,Loved “The pleasure is mine! I’m looking forward to meeti…”,,,,,
Agent,Good morning Kimberly! I hope you made it in okay yesterday. I’ll see you at 10.,,,,,
Lead,"Good morning , Ashanti . See you soon .",,,,,
Agent,"Loved “Good morning , Ashanti . See you soon . ”",,,,,
Lead,"Hi Ashanti, I’m here . Should I park in the garage ?",,,,,
Agent,"Hey, you can check out Bellrock Memorial and Avasa Spring Branch
 
 Bellrock will be the closest to work, about 10 mins without traffic. 
 $1270 | 678 sqft
 $1390 | 725 sqft 
 $1500 | 828 sqft 
 
 Avasa is about 15 mins to work without traffic. 
 $1459 + 6 weeks free | 745 sqft | Available 1/30/2025
 
 $1439 + 6 weeks free | 709 sqft | Available 2/11/225",,,,,
Agent,Let me know if you want to see either of them and I’ll set it up,,,,,
Lead,,Screenshot 2024-12-04 at 12.21.48 PM.heic,,,,
Lead,Which one should I select,,,,,
Agent,Bellrock memorial,,,,,
Lead,Thank you. Looking at both of them now,,,,,
Agent,Loved “Thank you. Looking at both of them now ”,,,,,
Lead,I love the Bellrock. I actually like them both . ☺️,,,,,
Agent,Perfect! You can either walk-in today or I can schedule for tomorrow? Up to you,,,,,
Lead,"If you don’t mind scheduling them for tomorrow , I’ll be there. I’m assuming if I was to schedule the two that we’re going to go ahead and cancel the other three.",,,,,
Lead,That is scheduled for tomorrow,,,,,
Agent,"Okay, no problem. Yes I think we should. They’re just soo far",,,,,
Lead,"Ok , I trust you with this process . I agree they are too far . Great places though!",,,,,
Agent,"Loved “Ok , I trust you with this process . I agree they …”",,,,,
Agent,"Hey, good evening. Here’s the schedule for tomorrow. 
 
 10 AM - Bellrock Memorial
 11 AM - Avasa spring branch
 
 I’m not going to be able to make these but if you need ANYTHING just call or text me!",,,,,
Lead,"Loved “Hey, good evening. Here’s the schedule for tomorro…”",,,,,
Lead,Thank you for scheduling the tours. I’ll let you know how it goes . Have a great night.,,,,,
Agent,Absolutely . Okay sounds good. Have a good night.,,,,,
Lead,"Good morning , Ashanti. Should I cancel the other tours today ? Or will you take care of that ?",,,,,
Agent,"Good morning, I’ve already taken care of it. You might get automated messages from them but you can disregard 👍🏼",,,,,
Lead,Thank you . Have a blessed day. 🙂,,,,,
Agent,My pleasure! Same to you. I’ll be here if you need anything.,,,,,
Lead,"Hey there. Hope your day is going well . I wanted to share my thoughts and experiences with you on the tours . 
 
 Firstly, I want to thank you for your service and time. 
 Both properties that you choose for today are jaw dropping! 🙏🏾
 
 They both have amazing amenities, 
 Tons of space and some incredible incentives! 
 
 The only difference is Bellrock Memorial doesn’t offer a balcony/patio !",,,,,
Agent,,Audio Message.caf,,,,
Agent,"Safe traveling today. Again, I’ll be here the whole way. When you’ve had some time, let me know your thoughts",,,,,
Lead,Loved an audio message,,,,,
Lead,"Hi Ashanti , literally just landed 🛬. 
 Can I call/ text you later with a few questions ?",,,,,
Agent,"Loved “Hi Ashanti , literally just landed 🛬. 
 Can I call…”",,,,,
Agent,Of course you can,,,,,
Lead,"Hi Ashanti, I hope you’re having a great day. I’m still settling in from the week of traveling. Please excuse my delay and reaching out to you. Please look forward to hearing from me soon. 🙏🏾",,,,,
Agent,"Hey Kimberly, no worries, I’m glad to hear you’re getting settled. I’ll be here looking forward to hear from you!",,,,,
Agent,"Hey Kimberly, I wanted to check in and make sure you’re all good. Do you still want to connect to ask questions and go over everything?",,,,,
Lead,"Hey Ashanti, thank you so much for following back up with me. I really appreciate your attentiveness. I went ahead and reached out to all of the leasing agents directly so that way they could communicate the questions that I have. 
 You have been amazing throughout this whole entire process and I figured that this was something that they will be able to better assist with. 
 
 It was just more questions like ""will I be able to complete everything via online""
 
 ""Will concessions still be available once my projected move-in date"" things like that it wasn’t anything to major, but if I do bump into any questions or concerns pertaining to you and your service, I would definitely reach out to you. I hope that you have an amazing day today and thank you again for all of you’ve done 🙏🏾This is not me saying good bye.",,,,,
Agent,"Loved “Hey Ashanti, thank you so much for following back …”",,,,,
Agent,"Absolutely! Sounds perfect I’m glad that you did. I hope you got all your questions answered. 
 
 I’ll be here if I can help in any way. The one thing I ask is that you look out for the referral section for any application you start. Very important so I receive credit for us working together 🙂Never hesitate to reach out!",,,,,
Lead,"Oh definitely, of course I will make sure that which ever one I decide to go with that your name has mentioned!",,,,,
Lead,Loved “Absolutely! Sounds perfect I’m glad that you did. …”,,,,,
Agent,"Loved “Oh definitely, of course I will make sure that whi…”",,,,,
Agent,Thanks a lot! I’ll be here if you need,,,,,
Agent,"Hey Kimberly, Happy New Year! Wanted to check in with you to make sure you’re all good with your options. Have you decided which apartment you’ll be going with?",,,,,
Lead,"Hi Ashanti Happy new year to you! I hope all is well. 
 
 I haven’t had time to decide on which one I’m going with . I’m still going through the transitional process with my job. Once that’s complete I’ll be able to solidify plans. 
 My least end isn’t until 2/19 . Hoping to have everything aligned then. 
 Thank for checking in on me . 🙏🏾",,,,,
Agent,"Loved “Hi Ashanti Happy new year to you! I hope all is well. 
 
 I haven’t had time to decide on which one I’m going with . I’m still going through the transitional process with my job. Once that’s complete I’ll be able to solidify plans. 
 My least end isn’t until 2/19 . Hoping to have everything aligned then. 
 Thank for checking in on me . 🙏🏾”",,,,,
Agent,"Yes all is well, thanks! 
 
 Okay sounds good. I’ll be here to help in any way!",,,,,
Agent,"Hey Kimberly! I hope things are coming along. Wanted to send you another deal to consider. Brand new apartments called Broadstone Oliver located in the Heights. They have a unit for $1395 + 8 weeks free = $1209/mo
 
 You can see a virtual tour on the website. It’s the E1 floorplan. Technically a studio but has a bedroom and is surprisingly spacious.",,,,,
Agent,https://broadstoneoliver.com/floorplans/,,,,,
Lead,"Good afternoon , Ashanti . Thank you for this information. 🙏🏾 I appreciate your services.",,,,,
Agent,"Loved “Good afternoon , Ashanti . Thank you for this information. 🙏🏾 I appreciate your services. ”",,,,,
Agent,Pleasure is mine,,,,,
Agent,"Hey Kimberly, I wanted to check in again to see that you’re on schedule with your lease ending in about 3 weeks. Has anything changed about you moving?",,,,,
Lead,"Loved “Hey Kimberly, I wanted to check in again to see that you’re on schedule with your lease ending in about 3 weeks. Has anything changed about you moving?”",,,,,
Lead,Hi Ashanti thank you for checking in . Least is up February 19th. Going through the transfer process with my job . I’ll be reaching out to you soon regarding which location I’ll go with . Thank you for your consistent communication. 🙏🏾,,,,,
Agent,Loved “Hi Ashanti thank you for checking in . Least is up February 19th. Going through the transfer process with my job . I’ll be reaching out to you soon regarding which location I’ll go with . Thank you for your consistent communication. 🙏🏾”,,,,,
Agent,"Good morning, okay sounds good. If there’s anything at all I can help with or questions I can have answered, please don’t hesitate to reach out. Happy to help!",,,,,
Agent,Hey Kimberly! I wanted to check in again with your lease ending in just over a week. Any news on your progress or how things are going with your job transfer?,,,,,
Agent,"Hi Kimberley, following up on my last message. Are you all set to move or have things changed?",,,,,
Lead,"Hi Ashanti, thanks for reaching out. Excuse my delay in responding as I’ve been super busy getting everything packed. Yes still schedule to move out next week however, the process with the transfer is taken longer than expected. I’m looking to maybe be moving the second week of March, I know for sure before the end of March. I’ll definitely be inHouston . I appreciate your consistent follow ups. You’ve really been a Gem during this entire process. You will definitely be the first person to know when everything is finalized 🙏🏾",,,,,
Agent,"Of course. No worries, I hope your transfer comes in sooner than later. Don’t mention it, I’m happy to be able to help anyway I can! I’ll be here if you need",,,,,
Agent,,Audio Message.caf,,,,
Notification,Kimberly Davis ⚡️ kept an audio message from you.,,,,,
Notification,kimmyk1990@icloud.com kept an audio message from you.,,,,,
Lead,"Hi Ashanti , I just wanted to take a moment to truly thank you for all your time, consistency, and support throughout this process. Your dedication has really meant a lot to me, and I’ve appreciated how you’ve made everything so much smoother. While I didn’t get the promotion I was hoping for this time around, Texas is still very much on my horizon! I’m excited for what’s to come and will definitely keep you in mind when the time is right. Thanks again for everything!🫶🏾
 
 Kimberly",,,,,
Lead,Loved an audio message,,,,,
Agent,"Loved “Hi Ashanti , I just wanted to take a moment to truly thank you for all your time, consistency, and support throughout this process. Your dedication has really meant a lot to me, and I’ve appreciated how you’ve made everything so much smoother. While I didn’t get the promotion I was hoping for this time around, Texas is still very much on my horizon! I’m excited for what’s to come and will definitely keep you in mind when the time is right. Thanks again for everything!🫶🏾
 
 Kimberly 
 ”",,,,,
Agent,"Hey Kimberly, thanks for reaching out! I’m sorry to hear you didn’t get the promotion you were hoping for. I know a Texas move isn’t far away for you though. It was really my pleasure to help. I’ll be here for you when it’s time! Take great care!",,,,,
,,,,,,
,,,,,,
,,,,,,
Agent,"Hey Mario, it’s Ashanti with Apt Amigo. Thanks for submitting your form! I’m happy to help you find your next apartment and send all of the new buildings within your price range. 
 
 What areas are you considering? Any IG posts you need info for?",,,,,
Lead,I don’t really know the areas in Houston but I want to stay in a good environment that’s only like 20 minutes from downtown,,,,,
Agent,Got it. Do you have a lease ending soon or is your move date pretty open?,,,,,
Lead,My lease now ends February 22,,,,,
Lead,I’m going to be in Houston within the next couple weeks doing apt tours,,,,,
Agent,"Okay, sounds good. I have your budget at $1500. Is that flexible at all or a strict number?",,,,,
Lead,It’s flexible to go lower 😂,,,,,
Agent,"Lol got you. At $1500 rent per month. You’d need to show you gross monthly income is at least $4500 per month, are you good there?",,,,,
Lead,Can l use my bank statements?,,,,,
Agent,Yes,,,,,
Lead,"Okay cool, I’m an entrepreneur so my monthly income fluctuate but my bank statements should get me approve",,,,,
Agent,"Okay cool. Anything else you want to share about what you’re looking for that I should be aware of while I search? Specific amenities, square feet preferences, pet friendly, etc?",,,,,
Lead,"I prefer up to date appliances, a walk in closet, and also a parking garage for car.",,,,,
Lead,"I also heard Stafford Texas, and Sugarloaf not to far from the city. I don’t know if those are good areas but if you know any good apartments in that area can you put those on the list too",,,,,
Agent,Got it. I’ll send some options in a bit,,,,,
Lead,Okay,,,,,
Agent,"Just emailed your list
 
 Some require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all scheduling 👍🏽
 
 Let me know the top 3-5 you want to tour ideally in the next 24-48 hours and I’ll set them up for when you’re in town.",,,,,
Agent,"Also you’ll be getting a $200 cash rebate or free move (your choice). 
 
 I’m able to do that when you list me as your referral correctly when you tour and apply - If you know what to look for at time of application, that’s perfect. If not, just reach out before you start any application and I’ll guide you!",,,,,
Lead,"Okay cool, do any of these apartments offer first month rent free or any deals",,,,,
Agent,Yes many of them are running specials right now. This list is for your reference but prices and specials can change on a daily basis so to avoid getting attached to the price and specials you see today we should take note of what buildings you like and will want to tour. It’s possible prices and specials are different when you’re in town to tour so I’ll be updating your list right before you visit,,,,,
Lead,Reacted 😂 to “Also you’ll be getting a $200 cash rebate or free …”,,,,,
Lead,Ok bet,,,,,
Lead,"So far I like 
 
 - Alta Sunset Heights 
 - Artistry design district 
 
 Can you send more?
 Some of those reviews on some communities don’t seem like the area is safe",,,,,
Agent,"Okay nice. Alta Sunset Heights is the best deal in Houston right now for price and location. It’s close to The Heights which has a lot of attractions (restaurants, stores, bars, etc). 
 
 I’d go as far as telling you you should applying since they’re doing a $99 application & admin to lock down the price. I can get video so you can , because there’s only one unit under $1500 right now and it’ll be gone for sure by the time you visit. 
 
 I sent the best within 20 mins of downtown and included Stafford and Sugarland. Which apts are you worried about the reviews?",,,,,
Lead,Hey I’m planning on being in Houston January 13-17 can you set me up some apartment tours?,,,,,
Agent,"Hey Mario, sounds good. For now is it only Alta Sunset Heights and Artisty design district you’re interested in?",,,,,
Lead,"Yes, I’m trying to take a couple more tours while out there than just those two tho. Atleast 4-5 tours. Need to look through a couple more apartments.",,,,,
Agent,"Okay, I’ll take another look early this week and send you some options",,,,,
Lead,Okay thanks,,,,,
Agent,Of course,,,,,
Agent,"Hey Mario, I just updated your list with a few more options. These will be the best options under $1500. Some show prices above $1500 but monthly rent will be under when you factor in the special. 
 
 The best deal is Alta Sunset Heights in my opinion. It’s brand new and a handful of my clients have already leased there. You’ll love how central the location is too. 
 
 Let me know all buildings you want to tour and I’ll have them set up for when you visit. Let me know any questions you have also!",,,,,
Lead,How do I see the updated version? The list I see in the emails is the same,,,,,
Agent,Just click on one of the apartments and it will take you to the live favorites and recommendations,,,,,
Lead,Looking now,,,,,
Lead,On Alta sunset I see it’s $1495. I also see they have a 2 month 100% off rent on 12 month lease. Is that already included in the $1495 or will that take more money off,,,,,
Agent,That $1495 unit is already discounted so doesn’t receive the 2 months free. The others will,,,,,
Agent,"I see your favorites. I’ll have them scheduled for when you visit next week. 
 
 A few more that might be worth a look to stay under budget and be close to downtown are…
 
 10x 15th street flats
 Lumen
 The Flats at West Alabama
 
 Let me know if you want to add any of these 👍🏼",,,,,
Lead,Okay bet!,,,,,
Lead,I like 10x 15 street flags and the flags at west Alabama,,,,,
Agent,Okay cool! I’ll let you know when they’re all scheduled.,,,,,
Lead,Ok cool I land tomorrow,,,,,
Agent,Yup. What time will you be able to start touring? Or would you like to start Tuesday?,,,,,
Lead,I land at 10:30 so around 1,,,,,
Agent,Okay,,,,,
Agent,"Here’s your upcoming tour schedule:
 
 Monday, January 13 
 1:30 PM – flats at West Alabama 
 
 Tuesday, January 14 
 10 AM – 10X 15th Street flats 
 11 AM – Alta Sunset Heights 
 12 PM – Artistry Design District 
 
 Let me know if you have any questions!",,,,,
Lead,Will I have time to make all those tours back to back Tuesday with travel time between each?,,,,,
Agent,Yes you’ll be fine. Tours are usually about 30 mins or less and these are close to one another,,,,,
Agent,"Good morning Mario ☀️ hoping you made it in safely! Good luck touring today, If you have any questions or concerns along the way just call or text me",,,,,
Lead,Okay cool,,,,,
Lead,"Liked “Good morning Mario ☀️ hoping you made it in safely! Good luck touring today, If you have any questions or concerns along the way just call or text me”",,,,,
Agent,I’ll be here if you need. Excited to hear how everything goes!,,,,,
Lead,Liked “I’ll be here if you need. Excited to hear how everything goes!”,,,,,
Lead,Okay touring now,,,,,
Agent,Loved “Okay touring now”,,,,,
Agent,"Hey Mario, how were your tours? Which did you like best?",,,,,
Lead,Hey I liked the flats at Alabama and 10X 15th streets flats.,,,,,
Agent,"Okay perfect, do you have all you need to apply or do you still feel like you want to see other options?",,,,,
Lead,I want to see other options,,,,,
Agent,"Good morning. Okay, I’ll set you up for some tours today. Here’s what I suggest…
 
 Co/op Heights
 Lenox Oaks
 The Dacoma
 Lumen
 
 Let me know which you’d like me to schedule!",,,,,
Agent,How did tours go yesterday? Any in particular stand out?,,,,,
Agent,,Audio Message.caf,,,,
Agent,"Hey Mario, are you all good? I didn’t hear back after your tours?",,,,,
,,,,,,
,,,,,,
,,,,,,
Agent,"Hey Britney! its Ashanti with Apt Amigo. Thanks for submitting your form, I’m happy to help you find your next apartment! Sorry you’re not feeling Dallas! Houston is definitely a better choice 🫢
 
 When next week will you be in Houston?",,,,,
Lead,Hello. I will be in Houston next Friday,,,,,
Lead,I’m also still narrowing areas,,,,,
Lead,Thanks for getting back with me,,,,,
Agent,"Okay, got it. And of course. Are there any important features or amenities you want to make sure your apartment building or specific unit has?",,,,,
Lead,"Well I am looking for a high rise. About 800 sq ft with Balcony. If you are familiar with the Atlanta area I lived in Buckhead so similar
 to that. I am particular about the fixtures lol. I would prefer a rather new building",,,,,
Agent,Okay. Got you on the fixtures lol👌🏼 and new building for sure. Is $2600 a strict budget or is there any flexibility?,,,,,
Lead,I would prefer to be between 2300-2600,,,,,
Lead,If the community is a couple of years (2) old that’s okay as well.,,,,,
Agent,"Okay, just emailed your list
 
 Take a look and let me know which you want to tour next weekend. Some do require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all scheduling 👌🏽
 
 You’ll see a few properties Downtown and I know that wasn’t your preferred area but highly recommend seeing Parkside Residences, it’ll give you a different outlook on Downtown. Also September dates will be hard to come by until next month so we can always revisit
 
 Let me know if you have any questions! I’ll check in Monday if I don’t hear from you to see if I can help at all",,,,,
Agent,"Also you’ll be getting a $200 cash rebate or free move (your choice). And I can only do that if you list me as your referral correctly when you tour and apply - it’s also the only way I’m paid for my free service, so thank you in advance for your referral! If you know what to look for at time of application, that’s perfect. If not, just reach out before you start an app and I’ll guide you!",,,,,
Lead,Thank you so much! I will take a look at the list. I know September dates will be up by next month but I want to take a look at the places so that I can narrow down.,,,,,
Agent,My pleasure! Sounds perfect,,,,,
Agent,Hey Britney! Checking in quick. Did you decide what properties you’ll be wanting to see this weekend?,,,,,
Agent,"Good morning Britney, I hope you traveled safely into Houston. Since my service is free to you, apartments require I communicate with them that you will be touring BEFORE you go, in order to credit me for your referral. 
 
 I’ve sent your guest card to the following properties. Please let me know which you will be visiting while you’re in town. Thanks a bunch!
 
 1. Aris Market Square
 2. Aspire Post Oak
 3. Bowen River Oaks
 4. Brava
 5. Forth at Navigation
 6. Hanover River Oaks
 7. Novel River Oaks
 8. Parkside Residences",,,,,
Agent,Hey Britney! Checking to see if you decided on dates for your next Houston trip yet?,,,,,
Agent,Questioned “Hey Britney! Checking to see if you decided on dat…”,,,,,
Lead,Hey! Sorry my schedule has been crazy. I plan to come in a few weeks but I don’t have exact dates yet.,,,,,
Agent,"Good morning! No worries, sorry I got tied up all day yesterday too! Okay, whenever you decide on dates let me know. I’d love to escort you on your tours and get the best idea of what you like to guide you to the right place.",,,,,
Lead,That sounds good,,,,,
Lead,Question about this one,,,,,
Lead,https://www.instagram.com/reel/C7zfXJVpXKy/?igsh=dDRqMGxvN3RmeHFj,,,,,
Lead,I have a few others I saw on your page to,,,,,
Agent,These are called East Quarter Residences. They’re located in Dallas though. Are you considering staying in Dallas?,,,,,
Lead,Lol of course,,,,,
Lead,Omg why didn’t I look at the top,,,,,
Lead,🤦🏽‍♀️,,,,,
Lead,Can I send you a couple more I saw for “Houston”?,,,,,
Agent,Lol no worries. Yes of course,,,,,
Lead,This isn’t on your page it may be I can’t keep up but do you know where this is,,,,,
Lead,https://www.instagram.com/reel/C3lE8bFPsjL/?igsh=MTZhMHB3NW12aWx3dg==,,,,,
Lead,Your page,,,,,
Lead,https://www.instagram.com/reel/C9LFq-quPN3/?igsh=MTgwdm81YWphZnZxNg==,,,,,
Lead,https://www.instagram.com/reel/C8-Fo6sObjH/?igsh=MXM3ZmN6bTN4ZTB2cQ==,,,,,
Lead,https://www.instagram.com/reel/C8r48ZFOrtp/?igsh=aGE5NTlzbDJhZGpv,,,,,
Lead,If you sent me these my apologies,,,,,
Agent,"In order…
 
 McKinley at Memorial City
 The Travis
 Parkside Residences
 McKinley again",,,,,
Lead,Thank you,,,,,
Agent,My pleasure,,,,,
Lead,I’m interested in McKinley,,,,,
Lead,They don’t have any specials,,,,,
Agent,"Okay, we can tour when you’re back in Houston. And unfortunately not, they for one rarely have specials",,,,,
Lead,"Good morning, I am considering midrises. My first choice is a highrise but I would like a 2 bedroom and they were pricey in highrises. Do you know of any new mid rise apartments or even townhomes. Sorry I’m just looking at all options.",,,,,
Agent,"Good afternoon, sorry I’m traveling today. Yes I’ll send you some options over the weekend. Same budget between $2300-2600?",,,,,
Lead,Yes and thank you,,,,,
Agent,Loved “Yes and thank you ”,,,,,
Agent,My pleasure,,,,,
Agent,"Good morning Britney, I just added a few 2 bedrooms apartments to your list. I resent the email. At a glance these are on the list, great options and with Bowen you’ll still get the Highrise and 2 beds
 
 Bowen River Oaks
 Modera Waugh 
 Taylor Heights
 The Laura
 The Oliver",,,,,
Agent,Please let me know which you want to see and when you plan to be back in Houston to tour so I can set them up!,,,,,
Lead,"Liked “Good morning Britney, I just added a few 2 bedroom…”",,,,,
Agent,"Hey Britney, I hope you’re doing well! I wanted to send you another option, it’s called Tempo at White Oak. It’s brand new in White Oak District. First move ins are October so you’d be the first to live in your apartment. 2 bed/2 bath start at $2500. Check it out below!
 
 www.tempoatwhiteoak.com",,,,,
Agent,"And if you know when you’ll be in Houston next, let me know the dates and I’ll see how they’re doing tours (I believe it’s hard hat only)",,,,,
Lead,Thank you,,,,,
Agent,My pleasure,,,,,
Agent,"Hey Britney, just wanted to stay in touch incase you’ll be visiting soon. Nothing new to report but Tempo at White Oak isn’t doing tours just yet. They should be starting in the next two weeks if interested in checking them out",,,,,
Lead,Hey I had a friend drive by Tempo and I didn’t like the location.,,,,,
Lead,I am going through the highrises to see the best options,,,,,
Lead,Really torn in between those,,,,,
Lead,https://www.tiktok.com/t/ZPRo2rnEK/,,,,,
Lead,Do you know what property this is?,,,,,
Agent,Liked “Hey I had a friend drive by Tempo and I didn’t lik…”,,,,,
Agent,"Okay, torn between all the choices we went over or are there a few in particular you can’t choose between?",,,,,
Lead,I like Modera Waugh,,,,,
Lead,They don’t have floor to ceiling windows,,,,,
Agent,This is Standard on the River,,,,,
Lead,And some of the other options because I still want a special.,,,,,
Lead,Travis has crazy reviews,,,,,
Agent,"Okay. Yea I wouldn’t recommend Travis for you. Let me take a look again in a bit.
 
 Whats your big things?
 -running special
 -Floor to ceiling windows 
 - under $2600?",,,,,
Lead,All of the above lol,,,,,
Lead,Bowen also had bad reviews,,,,,
Lead,And I have to have a balcony,,,,,
Lead,I saw Hanover River Oaks and it smells old lol,,,,,
Agent,Yea I was saying those for sure lol. $2600 absolute most? And is that rent price before or after specials?,,,,,
Agent,Liked “And I have to have a balcony ”,,,,,
Agent,Laughed at “I saw Hanover River Oaks and it smells old lol ”,,,,,
Lead,Yes,,,,,
Lead,Unless a special 2700 but I don’t even want to do that with the basic floor plans,,,,,
Lead,Sorry I’m all over the place I’m just super busy and I am picky 🤦🏽‍♀️ especially paying that much.,,,,,
Agent,Got you. And no you’re fine lol I totally get it. Paying that much you want what you want. Shouldn’t be any other way.,,,,,
Agent,Gove me a minute to look I’ll let you know what I find,,,,,
Agent,…smells old is crazy btw lol. Still laughing,,,,,
Lead,lol yes,,,,,
Lead,There is another Hanover I think it’s Autry but a bit too expensive last time I checked,,,,,
Lead,Liked “Gove me a minute to look I’ll let you know what I …”,,,,,
Lead,I want to apply within the next couple of weeks and I don’t believe I will be coming back down there as of now.,,,,,
Agent,Laughed at “lol yes ”,,,,,
Agent,Liked “I want to apply within the next couple of weeks an…”,,,,,
Agent,Yea Autry is over budget. I’ll send as I find. No need to reply to each of you don’t have feedback. I’ll let you know when I’m done,,,,,
Agent,"Elev8
 $2700
 A4
 
 Figure id send even at price since the balcony is unique",,,,,
Agent,https://www.instagram.com/reel/C-03DB4Jx3k/?igsh=bTc1czNwdmc3Y3J5,,,,,
Agent,"Parkside Residences still a great option 
 
 A3 - 920 sqft
 $2783 + 2 months free = $2354/mo",,,,,
Agent,,PNG image.jpeg,,,,
