Role,Message,Images/ Voice Messages/ etc,Channel,Event Marker,Date of message,Notes
Incoming,"Loved “Hey Adjani! Thanks for reaching out, I hope you’re well too. We’re still waiting on Lenox to pay your invoice. We’re hoping soon as the last follow up I see in my notes from the billing team was last week. I’m sorry it’s taking so long! I’ll give you another update as soon as I have one!”",,,,,
Incoming,Thanks for the update! I figured it was Lenox holding everything up 🤦🏽‍♀️,,,,,
Outgoing,Of course! We’re hoping they pay soon! How has your experience been so far?,,,,,
Incoming,So far so good! Nothing major to report and as of now I can honestly say that this place is worth the price. It’s a great location and I love my apartment,,,,,
Outgoing,That’s amazing!! So happy to hear that! Never hesitate to reach out for an update. My support doesn’t stop at your lease - I’m here whenever you need!,,,,,
Incoming,"Morning Ashanti! I hope you’ve been well. I just wanted to give you the heads up that you may want to tell your company to take Lenox Bayside off y’all’s list and not do business with them anymore. Early Saturday morning my car was vandalized. All my tires and rims stolen and left on cinderblocks. I was the only car they touched so someone definitely was watching me long enough to know my daily routine and knew what time I would not be out my home. And the week before a car was stolen. They never notified me of anything or let the community know that a car was stolen because they said they didn’t want to put anyone’s personal business out. The office has shown zero urgency about me being traumatized from this and made sure that they enjoyed their weekend, instead of coming in to deal with this. And the assistant manager sent me an email saying that “this happens anywhere” and I shouldn’t expect the courtesy officer to be patrolling 24/7 when he has a job at HPD. They don’t deserve anyone’s hard earned money",,,,,
Outgoing,Good morning Adjani! I’m sooo sorry to hear that. I really hate to hear any stories like this and really sorry you’re having to go through this! Thank you so much for letting me know. I will definitely let my company know. Are you okay?,,,,,
Incoming,"Not really. I wasn’t able to go to church or spend time with my mom and grandmother for Mother’s Day. I was stuck here and I still am. But most importantly I’m traumatized and scared because I have reason to believe they had help from someone here. I was targeted for a reason and a random visitor wouldn’t be able to know my schedule enough to feel comfortable and prepared to do this to me. I’m not safe here, but hopefully I can at least get my car towed today to a dealership or mechanic because I’m already missing work today",,,,,
Outgoing,I’m really sorry Adjani. Are you thinking about exploring your options for getting out of your lease early?,,,,,
Incoming,It’s crossed my mind but I’m not able to afford to move right now. But I’m definitely going to leave when my lease is up for sure so you can already count on me needing you when that time comes,,,,,
Outgoing,"Okay, I’ll definitely be here to help the time comes. In the mean time please update me on any other issues and let me know anything I can do to help",,,,,
Incoming,"Loved “Okay, I’ll definitely be here to help the time comes. In the mean time please update me on any other issues and let me know anything u can do to help”",,,,,
,,,,,,
,,,,,,
,,,,,,
Outgoing,"Hey Diamond! it’s Ashanti with Apt Amigo. Thanks for submitting your form, I’m happy to help you find your next apartment. Just a couple details so I know exactly what you’re looking for!
 
 When will your lease be ending?",,,,,
Incoming,Hey Ashanti! My lease ends September 30th,,,,,
Outgoing,"Okay, what areas or neighborhoods are you considering?",,,,,
Incoming,I don’t have a specific area in mind but I would like to be within the inner or second loop if possible. This way I’m close to downtown and IAH airport,,,,,
Outgoing,Okay. I got your budget at $1300. Is that flexible at all or strict?,,,,,
Incoming,I definitely want to stay within $1300 but if needed I can be a little flexible,,,,,
Outgoing,Okay no problem! I’ll send some options in a bit. What days of the week work best for tours?,,,,,
Incoming,"Thank you! Weekends works best, but I can try to squeeze in something during the week if that’s the only availability for a property.",,,,,
Outgoing,Got it! Some apartments will have reduced priced units based on income too around that price of $1300. What is your gross monthly income? It’s possible you’re eligible,,,,,
Incoming,that’s great! Please lmk if there’s any specials. $4.6k,,,,,
Outgoing,"Got it, will do!",,,,,
Outgoing,"Just emailed your list
 
 Some require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all scheduling 👍🏽
 
 Many are running specials. Most notably: the Oliver - 6 weeks free
 Alexan 5151 up to 6 weeks free
 Define living at Brittmoore- 6 weeks free
 
 Let me know the top 3-5 you want to tour ideally in the next 24-48 hours and I’ll set them up!",,,,,
Outgoing,"Also you’ll be getting a $200 cash rebate or free move (your choice). 
 
 And I can only do that if you list me as your referral correctly when you tour and apply - If you know what to look for at time of application, that’s perfect. If not, just reach out before you start an app and I’ll guide you.",,,,,
Incoming,"thank you!! I will take a look at them and let you know which ones I would like to tour, so you can set it up for me.",,,,,
Outgoing,Happy to help! Sounds perfect,,,,,
Incoming,"Hey Ashanti! I’ve started my options and would like to tour Tinsley, Viridian and smart living at Garden Oaks this Sunday if they have availability.",,,,,
Incoming,Please let me know if you have anything else for me to review,,,,,
Outgoing,"Hey Diamond! Okay, let me check availability",,,,,
Outgoing,Liked “Please let me know if you have anything else for m…”,,,,,
Outgoing,"Good morning Diamond, the one more I think would be worth a look is Bellrock Memorial. 1 bed for $1403. It’s right next to Viridian. Take a look and let me know if I can schedule them all or just the original 3. 
 
 Bellrockmemorial.com",,,,,
Incoming,"Good morning Ashanti, let’s also schedule a tour for Bellrock, the 828 sqft unit. Thank you!",,,,,
Outgoing,Will do! Do you want to schedule them all for Saturday?,,,,,
Incoming,"Yes, let’s schedule them all for Saturday, back-to-back if possible; with the first one starting at 11am",,,,,
Outgoing,Got it!,,,,,
Incoming,"Hey Ashanti, do you know what property this is and is pricing legit?",,,,,
Incoming,https://www.instagram.com/reel/C_8-PY5Sj_p/?igsh=bmk1ZGhua3NkYmkw,,,,,
Outgoing,"Hey, those are 1810 Main. That’s price after 6 weeks free for their lowest priced studio. Lowest price 1 bed is $1560. I’ll have to check special but if it’s 6 weeks free, self prorated price would be $1430/month",,,,,
Incoming,that’s not bad at all. how are we looking for tours on Saturday? are we set with all 4?,,,,,
Outgoing,3/4 are booked. Our scheduling team is working on Smart Living Garden Oaks.,,,,,
Outgoing,Do you want to schedule 1810 Main also?,,,,,
Incoming,Liked “3/4 are booked. Our scheduling team is working on …”,,,,,
Incoming,"yes, let’s schedule them also.",,,,,
Outgoing,Okay,,,,,
Outgoing,Smart living is closed on weekends. Is there another day that works?,,,,,
Incoming,let’s try this Friday at 10a,,,,,
Outgoing,Liked “let’s try this Friday at 10a”,,,,,
Outgoing,Smart Living Garden Oaks is confirmed for tomorrow @ 10am 👌🏼,,,,,
Outgoing,"Here’s the full schedule…
 
 Friday, September 20
 10am - Smart living garden oaks
 
 Saturday, September 21
 11am - Viridian design district
 12:30pm - Bellrock Memorial
 1:30pm - Tinsley on the park
 3:15pm - 1810 Main
 
 Let me know if you have any questions!",,,,,
Incoming,"Thank you so much! By chance are there any mid rises or luxury apt. within my budget? I can increase to under $1600. I’m trying to maximize my options as best as possible. 
 
 the biggest things for me are safety, cleanliness and closet space. I do want a balcony as well.",,,,,
Outgoing,"It’s my pleasure! I’ll take a look in a bit
 
 I hope your tour goes well today. I won’t be there but call or text if you need anything at all.",,,,,
Outgoing,Right now with my schedule I’ll be able to make 1810 Main tomorrow. I’ll let you know if anything changes! 🙂,,,,,
Outgoing,"Hey, check these out and let me know if you want to add any. I think they’re all worth a look. All under $1600
 
 - Lenox Oaks
 - 10x 15th street flats
 - Alta Washington",,,,,
Incoming,let’s do Lenox and Alta,,,,,
Outgoing,"Okay, for tomorrow or Sunday? If tomorrow that would be 6 in a day",,,,,
Incoming,Are they in proximity to 1810? I’m thinking if I want to squeeze in one more for tomorrow and the other on Sunday or try to knock them all out Sat.,,,,,
Outgoing,I can squeeze them all Saturday.,,,,,
Outgoing,"Here’s the full schedule…
 
 Saturday, September 21
 11am - Viridian design district
 12:30pm - Bellrock Memorial
 2pm - Alta Washington
 3:15pm - 1810 Main
 4pm - Lenox Oaks
 
 Let me know if you have any questions!",,,,,
Incoming,Thank you and okay will do!,,,,,
Outgoing,Loved “Thank you and okay will do!”,,,,,
Outgoing,"Hey Diamond, how are tours going today?",,,,,
Outgoing,I’ll still be meeting you at 1810 main so let me know how you’re doing on time,,,,,
Incoming,"Hey Ashanti, the tours are going well. I came to Alta early and I’m wrapping up now.",,,,,
Outgoing,Okay great. I’ll meet you at 1810. I’ll be there in about 20 mins or so,,,,,
Incoming,"Since I’m in the area, I’m checking out a place I just drove past. I’ll probably get there for 3:15",,,,,
Outgoing,Okay cool. Which apt? I’m sure I’ll have some insight,,,,,
Incoming,Broadstone memorial. I drive past it everyday going home and have been meaning to stop by. I came here yesterday but they were busy.,,,,,
Incoming,I just wrapped up omw to 1810 now,,,,,
Outgoing,"Okay cool. I’m here, I’ll see you in a minute. Drive safe!",,,,,
Incoming,"Loved “Okay cool. I’m here, I’ll see you in a minute. Dri…”",,,,,
Outgoing,"2101 N Shepherd Drive
 Houston, TX 77008",,,,,
Incoming,"Liked “2101 N Shepherd Drive
 Houston, TX 77008”",,,,,
Outgoing,"Hey, last place I suggest we check out is Lumen. They’re open today 12-5. Take a look and let me know if that’s cool
 
 Lumenhtx.com",,,,,
Incoming,"Hey, ironically I was going to check them out today too. My friend toured yesterday and said I should see it. I’ll let you know what I think.",,,,,
Outgoing,"Okay perfect. For them, I’m required to be there for credit so just let me know when you plan to go and I’ll meet you there",,,,,
Outgoing,Making sure you read my message that I’ll be meeting you,,,,,
Incoming,I’m leaving church now and headed there. I’ll be there in 20 minute. are you able to meet me?,,,,,
Outgoing,"Okay, I’m leaving the gym. Yes, I’ll meet you there",,,,,
Incoming,"Liked “Okay, I’m leaving the gym. Yes, I’ll meet you ther…”",,,,,
Outgoing,Hey good morning. I’ll be able to make it up there at 10. See you there!,,,,,
Incoming,"Good morning. okay, I’ll see you there!",,,,,
Outgoing,In traffic. Eta says 10:08,,,,,
Incoming,"no problem, I just got here",,,,,
Outgoing,"Liked “no problem, I just got here”",,,,,
Incoming,,RenderedImage.heic,,,,
Incoming,I’m filling out the app for Broadstone. they called back and said they’ll work with me,,,,,
Outgoing,Oh that’s great! Thanks for the referral. Keep me in the loop as they move through your application. And if you need anything just let me know!,,,,,
Incoming,of course and okay will do. Thanks!,,,,,
Outgoing,Loved “of course and okay will do. Thanks!”,,,,,
Outgoing,Hey Diamond! Making sure you’re all good. Has Broadstone been communicating well?,,,,,
Incoming,"Hey Ashanti! Everything has gone well. I moved in this morning, so far so good.",,,,,
Outgoing,"That’s amazing! I’m glad you made it happen. When you get a chance I’ll need a few details for my company to submit to the office. Can you send these please…
 
 - Official move date 
 - Base rent amount
 - Lease Term 
 - any specials received
 - unit #",,,,,
Incoming,"Hey Ashanti, I don’t know if I will stay here. Could you call me when you have a chance?",,,,,
Incoming,"Hey Ashanti, I still don’t know what I’m doing but I wanted to send this info over while I wait for the office to get back to me about my options 
 -9/30
 -$1594
 -13 months
 -look & lease special (app and admin fee)
 -323",,,,,
Outgoing,"Hey Diamond, okay thanks for the info. Let me know what happens. Were they cooperative when you spoke with them?",,,,,
Incoming,"Yes, they had maintenance come by to check the vents. They said everything looked good and that it could be the chemicals in the paint or flooring, which could take a month to subside. But I only smell it and start feeling symptoms when the A/C is on, so I don’t know what it really is. I’ll keep you posted.",,,,,
Outgoing,Okay. Please do,,,,,
Outgoing,"Hey Diamond, wanted to check on you. How’s everything been since move in? Did they handle those upfront issues?",,,,,
Incoming,"Hey Ashanti, I apologize for not getting back to you. Everything is great now. I filed a complaint with the health department and they came right out to inspect things. The complex had a company clean my air ducts and it’s much better now. Thank you for checking on me!",,,,,
Outgoing,"No worries, that’s great to hear! I’m really happy everything was cleared up and I hope the rest of your experience is flawless. If I can ever help in the future don’t hesitate to hmu!",,,,,
Incoming,thank you and I’ll absolutely reach out if I need your assistance again.,,,,,
Outgoing,Loved “thank you and I’ll absolutely reach out if I need …”,,,,,
Outgoing,Sounds good,,,,,
Outgoing,"Hey Diamond, I hope all is well. How is everything at Broadstone?",,,,,
Incoming,"Hey Ashanti! I’m doing good and I hope everything is well on your end. I really like it here! the staff is cool, maintenance is quick to resolve issues and the property is quiet. I appreciate you checking in!",,,,,
Outgoing,"That’s great! I’m happy to hear that. And of course, don’t mention it! I’ll still be here if you ever need me! And if you know anybody that can use my help, don’t be shy! Refer them over and I’ll be happy to help 🙂",,,,,
,,,,,,
,,,,,,
Outgoing,"Hey Asia! it’s Ashanti with Apt Amigo. Thanks for submitting your form, I’m happy to help you find your next apartment. Just a couple details so I know exactly what you’re looking for!
 
 Do you have a lease ending soon or is your move date open and flexible?",,,,,
Incoming,"Hi, I’m looking for something in the city area or humble. 2/3 bed room. 
 I currently don’t have a lease I’m moving back to TX from Boston. I’d be open to an early Oct move in date if we can pull it off.",,,,,
Outgoing,Got it. Will you be visiting to tour apartments in person before the final move or are you planning to only tour virtually?,,,,,
Incoming,I planned to be there to view the places however the timing doesn’t align. So virtually may be the best option. Also I wanted to add possible dog friendly. My daughter keeps asking for one. Just to add.,,,,,
Outgoing,"Okay, no problem. I got budget at $2600. Is that flexible or strict max?",,,,,
Incoming,Flexible with the price; however I prefer 2bed over 3 but I’m open.,,,,,
Outgoing,No problem. We’ll have many 2 bed options. Is there a max price cut off I should stick to?,,,,,
Incoming,I’d say for 2 bed try to stick to that price range.,,,,,
Outgoing,"Got it. Any other must have features you want to make sure I look for as I search? Sqft requirements, specific amenities, unit features, etc?",,,,,
Incoming,It would be a nice to have a gym and pool but not a must. Also sqft is not a factor just something decent.,,,,,
Outgoing,Gotcha! I’ll send some options in the next hour and we can start setting up virtual tours from there,,,,,
Outgoing,"Just emailed your list
 
 Some require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all virtual tour scheduling 👍🏽
 
 Any options you see above $2600 are running specials and will be below after the special. With the exception on Forth at Navigation which is a client favorite - $2845 + 1 month free = $2630/mo
 
 Let me know the top 3-5 you want to tour ideally in the next 24 hours and I’ll set them up!",,,,,
Outgoing,"Also you’ll be getting a $200 cash rebate or free move (your choice). 
 
 And I can only do that if you list me as your referral correctly when you tour and apply - If you know what to look for at time of application, that’s perfect. If not, just reach out before you start an app and I’ll guide you!",,,,,
Incoming,Okay great! Thanks I’ll take a look now.,,,,,
Outgoing,My pleasure! Sounds perfect,,,,,
Incoming,"Hi Ashanti 
 I was able to check out the listing you sent. I’m really interested in Eleve unit C2 or C3. 
 
 However I’m curious of the specials run at the Travis unit B4 
 And Drewery place B1.2 both 2bd 2bath.",,,,,
Outgoing,"Hi Asia, okay sounds great. I’ll get all the specials info for you over the weekend and start getting virtual tours together",,,,,
Incoming,"Sounds great. Have a great weekend. 
 
 Thanks",,,,,
Outgoing,"Thanks, same to you. 
 
 Happy to help!",,,,,
Incoming,"Hi ashanti, just wanted to check in. I had difficulty with my phone Friday so I wanted to make sure I didn’t miss anything.",,,,,
Outgoing,"Hi Asia, yes here is the info for each. Based on this let me know if you want to see all or just select buildings and I’ll start setting up virtual tours for this week.
 
 Eleve
 C2
 https://www.instagram.com/reel/C8K30dmv3tS/?igsh=djhldzZuOG54bTNw
 
 The Travis 
 B4
 https://www.instagram.com/tv/CSiBRjUpzrH/?igsh=c25sNTBjZjBta2oz
 
 B8 pushes you right to budget at $2612
 https://www.instagram.com/p/CU73vqop9sz/?igsh=aXdlaTBwcmN1eGsw
 
 The Travis Specials: $99 app/admin. Waived deposit with approved credit
 
 Drewery Place
 B1.2
 https://www.instagram.com/reel/CqddlHepBS4/?igsh=MWZnYnFxOGdrc21kdA==
 
 Drewery Place Special: 4 weeks free",,,,,
Incoming,B8 has a 3 month free special at that price?,,,,,
Outgoing,"For the Travis? No, for them they’re special is $99 app/admin and a waived deposit",,,,,
Incoming,Got it. The instagram post said 3 months free. Just wanted to confirm.,,,,,
Outgoing,Oh I see. No that post was from last year,,,,,
Outgoing,Which day this week will work for tours? I’ll be the one to FaceTime with you. I can do pretty much any day besides Wednesday,,,,,
Incoming,Okay. I’ll be able to view tomorrow around 2. If that’s doable?,,,,,
Outgoing,You’re Eastern time right?,,,,,
Incoming,Yes,,,,,
Outgoing,"Tomorrow I can tour all morning and the last tour I could go on would be at 12pm (1pm eastern). Could that work to see all three or does a block of time Thursday work better?
 
 We can also split them and tour one tomorrow at 12pm (1pm Eastern) and tour the other two on Thursday?",,,,,
Incoming,Okay the second option sounds good. Perfect!,,,,,
Outgoing,Sounds good! I’ll schedule for The Travis and let you know when it’s confirmed,,,,,
Incoming,Liked “Sounds good! I’ll schedule for The Travis and let …”,,,,,
Outgoing,"Good morning Asia, still waiting for the Travis to confirm. I requested and followed up with concierge yesterday and waiting on email confirmation. Anticipate our tour still being at 1pm Eastern. I’ll let you know when fully confirmed!",,,,,
Incoming,"Good morning, okay sounds good.",,,,,
Outgoing,Good to go for 1pm Eastern. I’ll let you know when I’m in the office before we get started,,,,,
Incoming,Okay great.,,,,,
Outgoing,"I’ll let you know when we’re about to get started. From the current availability, I’m thinking B8 floor plan for you. Let me know if you see any other floor plans on website you want to see",,,,,
Incoming,"Okay, which building was this just to confirm.",,,,,
Outgoing,The Travis,,,,,
Incoming,Okay,,,,,
Incoming,,74949544397__2A5FDA91-7477-4E05-A72B-58886FF4F92F.HEIC,,,,
Incoming,Not able to see anything on the site.,,,,,
Outgoing,https://thetravishouston.com/apartments/?bedroom=.2bed,,,,,
Incoming,B5 layout looks good as well. I’ll be interested in seeing that one also.,,,,,
Outgoing,Got it. Leasing agent is finishing up another tour…,,,,,
Incoming,Okay no worries,,,,,
Outgoing,Loved “Okay no worries ”,,,,,
Outgoing,,IMG_1624.MOV,,,,
Incoming,Very nice!,,,,,
Outgoing,Emphasized “Very nice! ”,,,,,
Outgoing,Sorry for the delay. Previous tour is back in the office. Looks like they’re finishing up,,,,,
Incoming,Okay. I’ll have to mute during the viewing but no worries.,,,,,
Outgoing,Would you rather me get video and send it to you?,,,,,
Incoming,Yes actually that would be better. Would it be both units? And did this location have a pool and gym?,,,,,
Outgoing,"Okay. Yes I’ll get both as long as they’re available to see, they should be. And yes, all locations have pool and gym. I’ll get video of amenities too",,,,,
Incoming,Loved “Okay. Yes I’ll get both as long as they’re availab…”,,,,,
Outgoing,,IMG_1626.MOV,,,,
Outgoing,,IMG_1628.MOV,,,,
Outgoing,,IMG_1629.MOV,,,,
Outgoing,,IMG_1630.MOV,,,,
Outgoing,,IMG_1631.MOV,,,,
Outgoing,B5,,,,,
Outgoing,B8,,,,,
Incoming,"Nice, what was the asking price for each. For my records",,,,,
Outgoing,"B5 - $2535
 B8 - $2605",,,,,
Incoming,Okay. And no specials correct?,,,,,
Outgoing,"Correct, unfortunately not",,,,,
Incoming,"Okay understood. Very nice place, what floor was this on?",,,,,
Outgoing,"B5 is on floor 24
 B8 is on floor 21",,,,,
Incoming,"Liked “B5 is on floor 24
 B8 is on floor 21”",,,,,
Outgoing,"What time Thursday will you be free to tour Drewery Place and Elevè?
 
 Or will it be best for me to grab video again?",,,,,
Incoming,"Probably best to compare videos before deciding. So yea videos, thanks",,,,,
Outgoing,Okay. My pleasure,,,,,
Incoming,Loved “Okay. My pleasure ”,,,,,
Outgoing,"Hey Asia, here is the schedule for tomorrow:
 
 12pm cst- Elevè
 1:30pm cst- Drewery Place
 
 Let me know if you have any questions!",,,,,
Incoming,"Hey Ashanti, looks good looking forward to the videos. 
 Thanks",,,,,
Outgoing,"Loved “Hey Ashanti, looks good looking forward to the vid…”",,,,,
Outgoing,"Also the price on the B8 at The Travis dropped over night to $2469 which is an outstanding price. Very possible someone applies to this unit before tomorrow if seen. If you loved it I’d suggest paying the application fee to take it off the market, with no obligation to sign the lease. 
 
 I also recommend checking the Drewery Place and Elevè websites for the options you’d be considering to compare the floor plans and unit at The Travis which is 1522 sqft. Sorry to apply any pressure, but I see units taken daily. Just my thoughts & something to consider.",,,,,
Incoming,Loved “Also the price on the B8 at The Travis dropped ove…”,,,,,
Outgoing,"Good morning Asia, on my way to Elevè. I’ll get video of the C2 and C3 and amenities. Let me know if you would like any other floor plans!",,,,,
Incoming,"Good morning, no that was all I seen. Looking forward to it. 
 Thank you",,,,,
Outgoing,Okay. My pleasure,,,,,
Outgoing,,IMG_1690.MOV,,,,
Outgoing,,IMG_1692.MOV,,,,
Outgoing,,IMG_1693.MOV,,,,
Outgoing,C3,,,,,
Outgoing,C2,,,,,
Outgoing,,IMG_1708.MOV,,,,
Outgoing,Drewery Place,,,,,
Outgoing,,IMG_1714.MOV,,,,
Outgoing,B1.2,,,,,
Outgoing,No B1.3 available to see today but you should be getting video of one to your email today,,,,,
Incoming,"Okay, all very nice! Remind me of the special for these two locations, for decision making. :)",,,,,
Outgoing,"Loved “Okay, all very nice! Remind me of the special for …”",,,,,
Outgoing,"The Travis: $99 app/admin & waived deposit
 Drewery Place: No special
 Elevè: 1 month free",,,,,
Incoming,Perfect thank you!,,,,,
Incoming,When I apply I add your name correct?,,,,,
Outgoing,"Happy to help! 
 
 Yes please. There will be a spot on the application to add your referral. Either a dropdown for you to choose “Locator/Real Estate Agent” and/or a section to add me as your referral. Here’s any info you’ll need. Thanks in advance!
 
 Ashanti DePass
 Broker: Nav Agency/Apt Amigo
 Ashanti.depass@aptamigo.com
 631-332-9092",,,,,
Outgoing,Please let me know once you’ve submitted an application and anything I can do to help!,,,,,
Incoming,Sounds good!,,,,,
Incoming,Another question - any of these places Airbnb friendly. Most my family lives on the east coast and I have a sick brother. So traveling often is a huge possibility. I just want to know if would have a problem airbnb my space out if I was out of town longer than a week.,,,,,
Outgoing,Unfortunately not for Airbnb. Most of Houston’s apartments aren’t Airbnb friendly so many who do have Airbnb’s are without an agreement with management.,,,,,
Incoming,"Oh okay. I was unaware. 
 Good to know. Thanks",,,,,
Outgoing,"Liked “Oh okay. I was unaware. 
 Good to know. Thanks ”",,,,,
Outgoing,Of course,,,,,
Incoming,"Hi Ashanti, I’m trying to apply for Elevé I can’t locate and email from them. I also don’t see a place to apply on their website. And have been trying to get them on the phone. Is there a link where I can apply that you have?",,,,,
Outgoing,"Hey Asia, one sec",,,,,
Incoming,"Liked “Hey Asia, one sec”",,,,,
Outgoing,Which floor plan do you want to apply for?,,,,,
Incoming,C3,,,,,
Outgoing,Liked “C3”,,,,,
Outgoing,https://www.eleveapts.com/Floor-plans,,,,,
Outgoing,"- Choose “floor plans” on apartment site home screen 
 - navigate to C3 floor plan and click “available units”
 - click “show units” and choose your unit 2128 is 1st floor, 2228 is 2nd floor, 2328 is 3rd floor",,,,,
Outgoing,,IMG_1746.jpg,,,,
Outgoing,"Also very important for me. On the registration page you’ll see “How did you hear about us?”
 
 Please choose “Apartment Locator” as shown highlighted in yellow in this photo",,,,,
Outgoing,Please let me know when you’ve submitted your application and if you have any other questions!,,,,,
Incoming,"Okay, I don’t believe the phone is compatible. I’ll try on my computer. 
 Thanks I will!",,,,,
Outgoing,https://www.eleveapts.com/Floor-plans.aspx,,,,,
Outgoing,This one should be good,,,,,
Outgoing,"Loved “Okay, I don’t believe the phone is compatible. I’l…”",,,,,
Incoming,Neither way worked.,,,,,
Incoming,I tried my computer as well.,,,,,
Outgoing,Are you able to navigate to the website?,,,,,
Incoming,"No, as soon as it gets to the lease now section the page has nothing on it.",,,,,
Incoming,On both my computer and phone. Did the same thing.,,,,,
Incoming,I called them and even left a message.,,,,,
Outgoing,Okay. What floor level do you prefer?,,,,,
Incoming,2nd or 3rd,,,,,
Outgoing,Liked “2nd or 3rd”,,,,,
Outgoing,Ashley from the office is going to email you now,,,,,
Incoming,Okay thanks,,,,,
Outgoing,Of course,,,,,
Incoming,I don’t see a tab with your name on it?,,,,,
Incoming,,75001681400__9DF404D0-F3A8-4CF9-AF51-94C0ED2761FC.HEIC,,,,
Incoming,Am I putting Ashely’s name?,,,,,
Outgoing,Yes you can put Ashley’s name. Those names are for leasing agents. The spot for Apartment Locator is for me,,,,,
Incoming,Okay,,,,,
Incoming,Good morning Ashanti just wanted to inform the application is in.,,,,,
Outgoing,Morning Asia ☀️okay great thanks for letting me know. I’ll be here to help throughout the application process so let me know anything I can do,,,,,
Incoming,"Sounds good, thank you.",,,,,
Outgoing,"Loved “Sounds good, thank you. ”",,,,,
Incoming,"Good morning, I filled out my application yesterday. When it came to the section where I I add my ID and paystubs I put all that in the drop down file box. But it also asked for my 3 year daughter ID and paystubs. It wouldn’t let me continue the application without putting something in for her so I put mine in. I believe that why the system flagged it. I thought it was looked at by a person who could see why the error happened. Is there anyway Ashely could give me a call directly? I’d like to do it over or maybe she can take a look at it.",,,,,
Outgoing,"Good morning, okay yes give them a call directly. Just ask for Ashley. Let me know if you have trouble reaching the office. Sounds like something we should be able to get past no problem",,,,,
Incoming,Called and left a voicemail.,,,,,
Outgoing,"Okay, she’s pretty good with following up. If you don’t here anything by mid afternoon let me know and I’ll try to get in touch",,,,,
Incoming,"Okay great, thanks.",,,,,
Outgoing,Of course!,,,,,
Incoming,"Hi, 
 haven’t heard anything back yet. Is there a direct contact?",,,,,
Outgoing,Are you using 281-318-1562?,,,,,
Incoming,Yes,,,,,
Outgoing,"I just spoke to them. They said the application was denied due to rental history, not the pay stubs. Do you have a broken lease on your rental history?",,,,,
Incoming,"Yes, when my father died it was years ago. I could’ve given an extra deposit.",,,,,
Incoming,Any way I can have a print out of my report?,,,,,
Incoming,"I was able to get them on the phone. They are emailing be a summary report. However, I wanted to ask you if there’s a place you know of that will allow me to put more money down instead of an immediate denial.",,,,,
Outgoing,Okay. How long ago was the broken lease? Do you still have a balance at that property?,,,,,
Incoming,"It was 2021, I believe it $1500 left; the building was sold to and it was impossible to contact anyone regarding the balance owed.",,,,,
Outgoing,"Okay, let me ask my team",,,,,
Incoming,Okay,,,,,
Outgoing,"Hey Asia, we didn’t come up with any options that’ll work with the property debt, I’m sorry. There are locators who work specifically with past broken leases that might be able to help better. Just search for “second chance apartment locator”. Sorry I couldn’t help",,,,,
Incoming,No worries thanks anyway.,,,,,
,,,,,,
,,,,,,
,,,,,,
Outgoing,"Hey Xosa! it’s Ashanti with Apt Amigo. Thanks for submitting your form, I’m happy to help you find your next apartment. Just a couple details so I know exactly what you’re looking for!
 
 What areas or neighborhoods are you considering?",,,,,
Outgoing,,Audio Message.caf,,,,
Incoming,"Hi there , apologies for the late reply. I’m not super familiar with the areas. I know of the heights , Katy , willing to live a little further out from Houston but prefer to be around 20 mins from the city, if outside of the city. 
 
 We are looking for an affordable 2 bed , spacious closets / room sizes big enough to fit a king. Double sinks in the bathroom if possible , side by side / French door full size fridge, wood floor , washer & dryer in unit, lots of natural light , spacious kitchen / island in the middle preferably, balcony",,,,,
Outgoing,"No worries. Okay I got it, I your move date open and flexible or do you have a specific date you need to be moved in by?",,,,,
Incoming,"I’m moving from ATL, looking to move by late December / January",,,,,
Outgoing,"Okay, will you be visiting to tour apartments in person or will everything be virtual until you apply?",,,,,
Incoming,Visiting either by the end of next month / early November,,,,,
Outgoing,"Okay! For a December/January move we’re a little early to search. Nothing will show for then right now. You’ll be right on time when you visit since we have a 60 day notice system so when you visit most of the 60 day notices will be in from current renters moving out so we’ll have the most deals to choose from. Prices and availability can change on a daily basis and new buildings will have opened by then as well. We can start and complete our search, have you applied and approved in a matter of a week or two also. How about you reach out when you schedule your dates to visit and before you come I’ll send all of your best options so you have a chance to see deals with the actual current prices and availability. You’ll thank me for it I promise! Sound okay?",,,,,
Incoming,Yeah sounds great. Thank you!,,,,,
Outgoing,Perfect. Of course!,,,,,
Outgoing,"Hey Xosa, hope all is well. Wanted to make sure all is the same since we last spoke. Are you still planning to visit this month or November and move from ATL Dec/Jan?",,,,,
Incoming,"Hello, yes that’s correct. As of right now i plan to be in town 10/29-11/2",,,,,
Outgoing,"Okay perfect. And I’ll go off of this criteria unless anything has changed. 
 
 What’s max budget you want to stay under?",,,,,
Incoming,"Yes pretty much the same , I’m open to most areas up to 40 mins outside of the city. Would prefer to be closer to the city though. 
 
 & Under 1800 for budget",,,,,
Outgoing,"Okay, sounds good. I’ll send you some options over the wknd and we can start to narrow down which you want to see and have tours all set up for when you visit!",,,,,
Incoming,"Ok great , thank you",,,,,
Outgoing,Happy to help,,,,,
